                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.87726,                0.52676,                0.98548,                 0.8832,                 0.6915,                0.79903,                0.53442,                 0.8746,                0.51795,                 1.0022,             0.00053773,             0.00053773,             0.00053773
                     65,                0.87664,                0.52888,                0.98336,                0.87751,                0.69159,                 0.8063,                0.53517,                0.87631,                0.51896,                 1.0024,             0.00052359,             0.00052359,             0.00052359
                     66,                0.87357,                0.52552,                0.98218,                0.88454,                0.68919,                0.80423,                0.53934,                0.86901,                0.51604,                 1.0003,             0.00050944,             0.00050944,             0.00050944
                     67,                 0.8725,                0.52226,                0.98627,                0.87536,                0.70803,                0.81011,                0.54228,                0.86947,                0.51008,                 0.9992,             0.00049529,             0.00049529,             0.00049529
                     68,                0.86731,                0.52221,                0.97934,                0.87448,                0.70494,                0.80728,                0.54084,                0.86779,                  0.511,                0.99751,             0.00048114,             0.00048114,             0.00048114
                     69,                0.87025,                0.52429,                0.98107,                0.88217,                0.69748,                0.80708,                0.54213,                0.86628,                0.50805,                0.99767,               0.000467,               0.000467,               0.000467
                     70,                0.86433,                0.52152,                0.97997,                 0.8836,                0.70374,                0.80819,                0.54443,                0.86016,                0.50287,                0.99559,             0.00045285,             0.00045285,             0.00045285
                     71,                0.86102,                0.51758,                0.97696,                0.87502,                0.71014,                0.81143,                0.54614,                0.85925,                0.50474,                0.99455,              0.0004387,              0.0004387,              0.0004387
                     72,                0.85469,                0.51321,                0.97357,                0.87745,                0.70219,                0.80569,                0.54467,                0.85753,                0.51057,                0.99389,             0.00042456,             0.00042456,             0.00042456
                     73,                0.84992,                0.50806,                0.97592,                0.87774,                0.70312,                0.81469,                0.54796,                0.85553,                0.50801,                 0.9945,             0.00041041,             0.00041041,             0.00041041
