                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.97377,                0.61159,                  1.007,                0.85372,                0.63334,                0.74473,                0.45792,                 1.0123,                0.62291,                 1.0398,             0.00062262,             0.00062262,             0.00062262
                     59,                0.96096,                0.60108,                 1.0033,                0.84698,                0.62025,                0.72989,                0.44952,                  1.011,                0.64466,                 1.0339,             0.00060847,             0.00060847,             0.00060847
                     60,                0.96472,                0.60895,                 1.0059,                0.83967,                0.62449,                0.72232,                0.43712,                 1.0625,                0.66015,                 1.0511,             0.00059432,             0.00059432,             0.00059432
                     61,                0.96009,                 0.6026,                 1.0015,                0.82722,                 0.6209,                0.72385,                0.44345,                 1.0512,                0.67976,                 1.0465,             0.00058017,             0.00058017,             0.00058017
                     62,                0.95433,                0.59553,                0.99837,                0.80878,                0.63178,                0.72376,                0.43527,                 1.0482,                0.64971,                 1.0463,             0.00056603,             0.00056603,             0.00056603
                     63,                 0.9528,                0.59602,                0.99403,                0.83527,                0.63075,                0.72687,                0.43992,                 1.0479,                0.65958,                 1.0462,             0.00055188,             0.00055188,             0.00055188
                     64,                0.94444,                0.59504,                0.99641,                0.84721,                0.63845,                0.73414,                0.44555,                  1.051,                 0.6384,                 1.0452,             0.00053773,             0.00053773,             0.00053773
                     65,                0.95086,                 0.5963,                0.99845,                0.82511,                0.61313,                0.70952,                0.41439,                 1.1216,                0.70064,                 1.0689,             0.00052359,             0.00052359,             0.00052359
                     66,                 0.9447,                0.59077,                0.99424,                0.81777,                0.62334,                0.71647,                0.42735,                 1.0893,                0.67307,                 1.0558,             0.00050944,             0.00050944,             0.00050944
                     67,                0.93614,                0.58475,                0.99192,                0.82174,                0.64937,                0.74154,                0.45848,                 1.0293,                0.62647,                 1.0384,             0.00049529,             0.00049529,             0.00049529
                     68,                0.93511,                0.59038,                0.99148,                0.83156,                0.64032,                0.73528,                0.44649,                 1.0518,                0.66093,                 1.0438,             0.00048114,             0.00048114,             0.00048114
                     69,                0.93368,                 0.5817,                 0.9858,                0.84943,                0.62181,                0.72879,                0.44651,                 1.0665,                0.68622,                 1.0494,               0.000467,               0.000467,               0.000467
                     70,                0.93145,                0.58121,                0.98508,                0.84388,                0.61686,                 0.7181,                0.43538,                 1.0619,                0.68819,                 1.0476,             0.00045285,             0.00045285,             0.00045285
                     71,                0.92412,                0.57458,                0.98341,                0.83791,                 0.6505,                0.74373,                0.45684,                 1.0283,                 0.6345,                 1.0336,              0.0004387,              0.0004387,              0.0004387
                     72,                0.92094,                0.57511,                0.98315,                0.83269,                0.63298,                0.73534,                0.44482,                 1.0604,                0.66398,                 1.0452,             0.00042456,             0.00042456,             0.00042456
                     73,                0.91877,                0.57267,                 0.9816,                0.84361,                 0.6422,                0.74316,                0.44918,                  1.054,                0.64877,                 1.0413,             0.00041041,             0.00041041,             0.00041041
                     74,                0.91854,                0.56909,                0.98121,                0.85289,                0.64785,                0.74936,                0.45881,                 1.0344,                0.63137,                 1.0317,             0.00039626,             0.00039626,             0.00039626
                     75,                0.91322,                0.56687,                0.97646,                0.83898,                 0.6476,                 0.7405,                 0.4479,                 1.0553,                0.64632,                 1.0405,             0.00038211,             0.00038211,             0.00038211
                     76,                0.90546,                0.56127,                0.97481,                0.86222,                0.66443,                0.76662,                0.47782,                0.99706,                0.59452,                 1.0221,             0.00036797,             0.00036797,             0.00036797
                     77,                0.90095,                0.56205,                0.97472,                0.84202,                  0.657,                0.75244,                 0.4638,                 1.0359,                 0.6232,                 1.0332,             0.00035382,             0.00035382,             0.00035382
                     78,                0.90308,                0.56226,                0.97693,                0.84476,                 0.6571,                0.75687,                0.46794,                 1.0197,                0.61824,                 1.0292,             0.00033967,             0.00033967,             0.00033967
                     79,                0.89643,                0.55954,                0.97409,                0.85315,                0.66938,                 0.7619,                 0.4745,                  1.011,                  0.608,                 1.0231,             0.00032553,             0.00032553,             0.00032553
                     80,                 0.9009,                0.55872,                0.97356,                0.85142,                0.65669,                0.75291,                0.45723,                 1.0494,                0.63488,                 1.0365,             0.00031138,             0.00031138,             0.00031138
                     81,                0.89426,                0.55404,                0.97116,                0.85411,                0.66022,                0.75793,                0.47369,                 1.0009,                0.60548,                 1.0213,             0.00029723,             0.00029723,             0.00029723
                     82,                 0.8904,                 0.5523,                0.97044,                0.85373,                0.66805,                0.76276,                0.47861,                0.99518,                0.60303,                 1.0187,             0.00028308,             0.00028308,             0.00028308
                     83,                0.88448,                  0.548,                0.96798,                0.83539,                0.66368,                0.75406,                0.47156,                 1.0108,                0.61014,                  1.025,             0.00026894,             0.00026894,             0.00026894
                     84,                0.88252,                0.54767,                 0.9687,                0.86683,                0.65949,                0.75983,                0.47502,                 1.0095,                0.61913,                 1.0263,             0.00025479,             0.00025479,             0.00025479
                     85,                0.87434,                0.54531,                0.96761,                0.85314,                0.65074,                0.75491,                0.46428,                 1.0222,                0.62391,                  1.028,             0.00024064,             0.00024064,             0.00024064
                     86,                0.87496,                0.54162,                0.96644,                0.84714,                0.65753,                0.76081,                0.47561,                 1.0017,                0.61013,                 1.0218,              0.0002265,              0.0002265,              0.0002265
                     87,                0.87644,                0.54445,                0.96554,                0.83783,                0.66571,                0.75917,                0.47063,                 1.0152,                0.61035,                 1.0257,             0.00021235,             0.00021235,             0.00021235
                     88,                 0.8748,                0.54139,                0.96314,                0.84522,                0.67124,                   0.77,                0.48302,                0.98766,                0.59453,                 1.0162,              0.0001982,              0.0001982,              0.0001982
                     89,                0.86579,                0.53636,                0.96215,                0.83182,                0.68294,                0.76187,                 0.4763,                0.99202,                0.59956,                 1.0185,             0.00018406,             0.00018406,             0.00018406
                     90,                0.84905,                0.51904,                0.94954,                0.82417,                0.65099,                0.73882,                0.45433,                 1.0441,                 0.6455,                 1.0362,             0.00016991,             0.00016991,             0.00016991
                     91,                0.83822,                0.51109,                 0.9476,                0.83122,                 0.6418,                0.73892,                0.45281,                 1.0563,                0.66164,                 1.0393,             0.00015576,             0.00015576,             0.00015576
                     92,                  0.826,                0.50497,                0.94326,                0.82818,                0.64721,                 0.7403,                0.45393,                  1.057,                0.65911,                 1.0361,             0.00014161,             0.00014161,             0.00014161
                     93,                0.82308,                0.50026,                0.93991,                0.85121,                0.63279,                 0.7457,                0.45656,                 1.0571,                0.65417,                 1.0373,             0.00012747,             0.00012747,             0.00012747
                     94,                0.82313,                0.49891,                0.94125,                0.85424,                0.64329,                 0.7429,                0.45685,                 1.0614,                0.65327,                 1.0386,             0.00011332,             0.00011332,             0.00011332
                     95,                0.81503,                0.49774,                0.94036,                0.83279,                0.65944,                0.74476,                0.45611,                 1.0587,                 0.6557,                 1.0369,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.81048,                 0.4947,                0.93861,                0.84324,                0.65622,                0.75643,                0.46647,                  1.037,                0.64078,                 1.0306,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.81207,                0.49158,                0.93738,                 0.8558,                0.65343,                0.76049,                0.47019,                 1.0311,                0.63801,                 1.0292,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.80443,                0.48931,                0.93458,                0.85182,                0.63819,                 0.7422,                0.46054,                 1.0301,                0.63632,                  1.029,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.80814,                0.49185,                0.93575,                0.85477,                0.63981,                0.75182,                0.46116,                 1.0452,                0.64488,                 1.0328,             4.2584e-05,             4.2584e-05,             4.2584e-05
