                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.82399,                0.48985,                0.97563,                0.86937,                0.71811,                0.80853,                0.54181,                0.85313,                0.49606,                 1.0068,             0.00025479,             0.00025479,             0.00025479
                     85,                0.83058,                0.49527,                0.97945,                0.86908,                0.70855,                0.80462,                0.54171,                0.85142,                0.49666,                  1.007,             0.00024064,             0.00024064,             0.00024064
                     86,                 0.8239,                0.48827,                0.97471,                 0.8618,                0.71425,                0.80555,                0.53952,                0.85209,                0.49738,                 1.0079,              0.0002265,              0.0002265,              0.0002265
                     87,                0.81238,                0.48399,                0.97018,                0.86962,                0.70675,                0.80489,                0.54276,                0.85243,                0.49826,                 1.0071,             0.00021235,             0.00021235,             0.00021235
                     88,                0.81645,                0.48637,                0.97176,                0.87972,                0.70227,                0.80452,                0.54213,                0.84751,                0.49625,                 1.0057,              0.0001982,              0.0001982,              0.0001982
                     89,                0.81509,                0.48426,                 0.9739,                0.87555,                0.70328,                0.80646,                0.54428,                0.84834,                0.49732,                 1.0065,             0.00018406,             0.00018406,             0.00018406
                     90,                0.79713,                0.46781,                0.96287,                0.88997,                0.70235,                0.80762,                 0.5418,                0.85383,                0.49569,                  1.009,             0.00016991,             0.00016991,             0.00016991
                     91,                0.78497,                0.45863,                0.95546,                0.85674,                0.71687,                0.81033,                0.54457,                0.84934,                0.49039,                 1.0058,             0.00015576,             0.00015576,             0.00015576
                     92,                0.77886,                0.45198,                 0.9519,                0.88123,                0.70486,                 0.8107,                0.54319,                 0.8488,                0.49141,                 1.0052,             0.00014161,             0.00014161,             0.00014161
                     93,                0.77614,                0.45113,                0.95148,                 0.8695,                0.70535,                0.80783,                0.54094,                0.85088,                0.49223,                 1.0055,             0.00012747,             0.00012747,             0.00012747
                     94,                0.76857,                0.44629,                0.94836,                0.88261,                0.70571,                0.80813,                0.54586,                0.84476,                0.49082,                 1.0026,             0.00011332,             0.00011332,             0.00011332
                     95,                0.76731,                0.44753,                  0.951,                0.87838,                0.69718,                0.80722,                0.54525,                0.84161,                0.48904,                 1.0025,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.76955,                 0.4496,                0.94934,                0.87348,                0.70609,                0.80873,                0.54291,                0.84412,                0.48995,                 1.0033,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.7562,                0.44228,                0.94228,                0.87679,                0.70683,                0.80891,                0.54634,                0.83997,                0.48781,                 1.0014,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.75851,                0.44519,                0.94685,                0.86668,                0.71057,                0.80734,                0.54473,                0.84069,                0.48745,                 1.0014,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.75481,                0.44189,                0.94477,                0.87397,                0.71032,                0.80829,                 0.5448,                0.84113,                0.48909,                 1.0015,             4.2584e-05,             4.2584e-05,             4.2584e-05
